Routing Tracker #,Doc Tracer #,Equipment/Product,Category,IL-Tag,Status,Sent/Routing To,Email,Date Sent,Report/Protocol,Batch No.,Client Name,Department,Prepared By,Date Prepared,Checked By,Date Checked,Target Completion Date,Remarks,Created At,Updated At,Updated By,Signatories,Total Routing Duration,Routing Completed At
61UY,VMP-MM-01-000-193E-3,Mosegor Vita Capsule (MVC),Process,n/a,Routing,Othy,,2026-05-26,Endorsement,2026MVC-4 and 2026MVC-5,NA,DPM,ADF & CML,2026-05-22,SBA,2026-05-22,,n/a,2026-05-22 0:00:00,6/8/2026 9:24:18,Unknown user,"[{""Name"":""Ernz"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-08 09:23:43"",""Date/time signed"":""2026-06-08 09:24:17"",""Duration pending/signing time"":""1 min""},{""Name"":""Othy"",""Order"":2,""Status"":""Active"",""Date/time forwarded"":""2026-06-08 09:24:17"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
7VBQ,VMP-MM-01-000-151E-5,Ciprofloxacin Hydrochloride 500 mg FC Tablet (CIRT),Process,n/a,Sent,Ernz,,2026-06-03,Verif. Endorsement Report,2026CIRT-3,NA,DPM,ADF & CML,2026-05-21,SBA,2026-05-21,,For implementation of endorsement,2026-05-22 0:00:00,6/3/2026 11:38:59,carlolidres@gmail.com,"[{""Name"":""Ernz"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-03 08:25:33"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
L0UG,APR-2026-006,Glazide / Glubitor / Gliclazide 80 mg Tablet (GZD / GLU / GZI),APR,n/a,Completed,Timi,,2026-05-25,APR,,Sandoz Philippines Corp.,,FBP & LAL,2026-05-22,CML,2026-05-22,,n/a,2026-05-22 0:00:00,6/17/2026 8:54:11,Unknown user,[],,
69DN,VMP-MM-01-000-179P-5.1,Clopidogrel 75 mg Film-Coated Tablet (CLPD),Process,n/a,In EDMS,Angela,,2026-06-09,Ver. Protocol,,NA,DPM,ADF,2026-05-25,CML,2026-05-25,2026-05-29,n/a,2026-05-25 0:00:00,6/9/2026 14:41:36,Unknown user,"[{""Name"":""Ron"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-03 08:23:25"",""Date/time signed"":""2026-06-04 13:24:24"",""Duration pending/signing time"":""1 day 5 hrs""},{""Name"":""Fong"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-04 13:24:24"",""Date/time signed"":""2026-06-09 14:41:03"",""Duration pending/signing time"":""5 days 1 hr""},{""Name"":""Jon"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 14:41:03"",""Date/time signed"":""2026-06-09 14:41:14"",""Duration pending/signing time"":""0 mins""}]",6 days 6 hrs,2026-06-09 14:41:14
X3DS,VMP-MM-01-000-189P-4,PONSTAN SF 250 mg CAPSULE (PTNP),Process,,In EDMS,Isaiah,,2026-05-29,Val. Protocol,,Pfizer Inc.,DPP,ADF & CML,2026-05-26,CML,2026-05-26,2026-05-29,,2026-05-26,6/2/2026 7:00:58,Unknown user,,,
A37F,VMP-MM-01-000-189P-7,PONSTAN SF 500 mg CAPSULE (PNSC),Process,,In EDMS,Isaiah,,2026-05-28,Val. Protocol,,Pfizer Inc.,DPP,ADF & CML,2026-05-26,CML,2026-05-26,2026-05-29,,2026-05-26,5/29/2026 10:57:05,Unknown user,,,
OHYH,VMP-MM-02-000-103R-9,CETIRIZINE HYDROCHLORIDE 5mg/5mL SYRUP (AXLS),Process,,In EDMS,Isaiah,,2026-05-28,Ver. Report,2026AXLS-6,NA,LPP,ADF,2026-05-28,CML,2026-05-28,2026-05-29,URGENT,2026-05-28,6/2/2026 7:01:49,Unknown user,,,
C52I,VMP-MM-01-000-301I (1),ROSUVASTATIN 20 mg FILM-COATED TABLET (RSVT),Process,,In EDMS,Isaiah,,2026-05-29,Interim Report,2026RSVT-2,NA,DPM,ADF,2026-05-28,CML,2026-05-28,2026-05-28,URGENT,2026-05-28,5/29/2026 10:55:58,Unknown user,,,
X0BL,VMP-MM-01-000-195I-8,CETIRIZINE HCl 10mg FILM-COATED TABLET (CTZA),Process,,In EDMS,Isaiah,,2026-05-28,Interim Report,2026CTZA-7,Interphil Laboratories Inc.,DPM,ADF,2026-05-28,CML,2026-05-28,2026-05-29,,2026-05-28,6/2/2026 7:00:04,Unknown user,,,
VIEV,VMP-EQ-01-000-059R-3.1,ZANASI MATIC 60 ,Non-process,IL-0315,In EDMS,Isaiah,,2026-05-29,Report,,,DPM,RDM,2026-05-26,CML,2026-05-26,2026-06-04,for Filing,2026-05-28,5/29/2026 9:34:44,carlolidres@gmail.com,,,
J655,VMP-CS-06-004R.1,OPENLAB CDS (LC#27),Non-process,LC-27,In EDMS,Isaiah,,2026-05-28,VMP,,"Novartis Healthcare Phils., Inc.",QC Plant 1,RDM,2026-05-28,CML,2026-05-28,2026-05-28,,2026-05-28,5/29/2026 9:35:37,carlolidres@gmail.com,,,
XIX9,APR-2026-044,Lomotil 2mg Tablet,APR,n/a,In EDMS,Timi,,,APR,,"JNTL Consumer Health (Philippines), Inc.",,FBP & LAL,2026-05-28,CML,2026-05-29,,Care of Timi,5/28/2026 17:39:10,6/3/2026 8:32:27,Unknown user,"[{""Name"":""Fong"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-03 08:31:00"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
513T,APR-2026-038,Imodium 2mg Capsule,APR,n/a,In EDMS,Timi,,,APR,,"JNTL Consumer Health (Philippines), Inc.",,LAL,2026-05-28,CML,2026-05-29,,Care of Timi,5/28/2026 17:40:19,6/3/2026 8:33:34,Unknown user,"[{""Name"":""Fong"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-03 08:33:00"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
6YFQ,VMP-CM-00-000-035P,Equipment Train for Elica 1mg/g Ointment (EAO),Non-process,n/a,In EDMS,Anissa,,2026-06-02,Val. Protocol,,,CO,LAL,2026-06-01,,,,n/a,2026-06-01 0:00:00,6/9/2026 14:12:28,Unknown user,"[{""Name"":""Anissa"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-09 14:12:00"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
krkG,VMP-MM-00-000-077P-5,Elica 1mg/g Ointment (EAO),Process,n/a,Routing,Fong,,,Val. Protocol,,"Bayer Philippines, Inc. – Pharma Division",CO,ADF & CML,2026-06-03,SBA,2026-06-03,,n/a,6/3/2026 7:56:09,6/15/2026 10:20:00,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-03 07:56:09"",""Date/time signed"":""2026-06-04 08:32:01"",""Duration pending/signing time"":""1 day 36 mins""},{""Name"":""Cara"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-04 08:32:01"",""Date/time signed"":""2026-06-05 13:10:36"",""Duration pending/signing time"":""1 day 4 hrs""},{""Name"":""Anne"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-05 13:10:36"",""Date/time signed"":""2026-06-09 14:52:37"",""Duration pending/signing time"":""4 days 1 hr""},{""Name"":""Tin"",""Order"":4,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 14:52:37"",""Date/time signed"":""2026-06-09 14:52:47"",""Duration pending/signing time"":""0 mins""},{""Name"":""Nadia"",""Order"":5,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 14:52:47"",""Date/time signed"":""2026-06-09 14:52:59"",""Duration pending/signing time"":""0 mins""},{""Name"":""Othy"",""Order"":6,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 14:52:59"",""Date/time signed"":""2026-06-09 14:53:14"",""Duration pending/signing time"":""0 mins""},{""Name"":""Aiza"",""Order"":7,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 14:53:14"",""Date/time signed"":""2026-06-10 14:27:17"",""Duration pending/signing time"":""23 hrs 34 mins""},{""Name"":""Ron"",""Order"":8,""Status"":""Signed"",""Date/time forwarded"":""2026-06-10 14:27:17"",""Date/time signed"":""2026-06-15 10:19:47"",""Duration pending/signing time"":""4 days 19 hrs""},{""Name"":""Fong"",""Order"":9,""Status"":""Active"",""Date/time forwarded"":""2026-06-15 10:19:47"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Jon"",""Order"":10,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
Ct6u,VMP-MM-00-000-077P-4,ELICA 1MG/G OINTMENT (EAO),Process,n/a,In EDMS,Isaiah,,2026-06-18,Val. Protocol,,"Bayer Philippines, Inc. – Pharma Division",CO,ADF & CML,2026-06-03,SBA,2026-06-03,,n/a,6/3/2026 8:00:42,6/18/2026 13:38:28,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-03 08:00:42"",""Date/time signed"":""2026-06-04 08:32:48"",""Duration pending/signing time"":""1 day 32 mins""},{""Name"":""Cara"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-04 08:32:48"",""Date/time signed"":""2026-06-05 13:11:03"",""Duration pending/signing time"":""1 day 4 hrs""},{""Name"":""Anne"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-05 13:11:03"",""Date/time signed"":""2026-06-09 13:11:42"",""Duration pending/signing time"":""4 days 1 min""},{""Name"":""Tin"",""Order"":4,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:11:42"",""Date/time signed"":""2026-06-09 13:11:54"",""Duration pending/signing time"":""0 mins""},{""Name"":""Nadia"",""Order"":5,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:11:54"",""Date/time signed"":""2026-06-09 13:12:04"",""Duration pending/signing time"":""0 mins""},{""Name"":""Othy"",""Order"":6,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:12:04"",""Date/time signed"":""2026-06-09 13:12:17"",""Duration pending/signing time"":""0 mins""},{""Name"":""Aiza"",""Order"":7,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:12:17"",""Date/time signed"":""2026-06-10 14:27:42"",""Duration pending/signing time"":""1 day 1 hr""},{""Name"":""Ron"",""Order"":8,""Status"":""Signed"",""Date/time forwarded"":""2026-06-10 14:27:42"",""Date/time signed"":""2026-06-15 10:20:38"",""Duration pending/signing time"":""4 days 19 hrs""},{""Name"":""Fong"",""Order"":9,""Status"":""Signed"",""Date/time forwarded"":""2026-06-15 10:20:38"",""Date/time signed"":""2026-06-18 13:36:11"",""Duration pending/signing time"":""3 days 3 hrs""},{""Name"":""Fong"",""Order"":10,""Status"":""Signed"",""Date/time forwarded"":""2026-06-18 13:36:11"",""Date/time signed"":""2026-06-18 13:37:46"",""Duration pending/signing time"":""2 mins""}]",15 days 5 hrs,2026-06-18 13:37:46
2sgt,VMP-MM-00-000-076P-5,ELICA 1MG/G CREAM (EAM),Process,n/a,In EDMS,Isaiah,,2026-06-18,Val. Protocol,,"Bayer Philippines, Inc. – Pharma Division",CO,ADF & CML,2026-06-03,SBA,2026-06-03,,n/a,6/3/2026 8:03:34,6/18/2026 13:07:48,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-03 08:03:34"",""Date/time signed"":""2026-06-04 08:33:33"",""Duration pending/signing time"":""1 day 30 mins""},{""Name"":""Cara"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-04 08:33:33"",""Date/time signed"":""2026-06-05 13:11:29"",""Duration pending/signing time"":""1 day 4 hrs""},{""Name"":""Anne"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-05 13:11:29"",""Date/time signed"":""2026-06-09 13:10:00"",""Duration pending/signing time"":""3 days 23 hrs""},{""Name"":""Tin"",""Order"":4,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:10:00"",""Date/time signed"":""2026-06-09 13:10:17"",""Duration pending/signing time"":""0 mins""},{""Name"":""Nadia"",""Order"":5,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:10:17"",""Date/time signed"":""2026-06-09 13:10:29"",""Duration pending/signing time"":""0 mins""},{""Name"":""Othy"",""Order"":6,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:10:29"",""Date/time signed"":""2026-06-09 13:10:40"",""Duration pending/signing time"":""0 mins""},{""Name"":""Aiza"",""Order"":7,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:10:40"",""Date/time signed"":""2026-06-10 14:28:03"",""Duration pending/signing time"":""1 day 1 hr""},{""Name"":""Ron"",""Order"":8,""Status"":""Signed"",""Date/time forwarded"":""2026-06-10 14:28:03"",""Date/time signed"":""2026-06-15 10:21:08"",""Duration pending/signing time"":""4 days 19 hrs""},{""Name"":""Fong"",""Order"":9,""Status"":""Signed"",""Date/time forwarded"":""2026-06-15 10:21:08"",""Date/time signed"":""2026-06-18 13:06:52"",""Duration pending/signing time"":""3 days 2 hrs""},{""Name"":""Jon"",""Order"":10,""Status"":""Signed"",""Date/time forwarded"":""2026-06-18 13:06:52"",""Date/time signed"":""2026-06-18 13:07:02"",""Duration pending/signing time"":""0 mins""}]",15 days 5 hrs,2026-06-18 13:07:02
zEvB,VMP-MM-00-000-076P-6,ELICA 1MG/G CREAM (EAM),Process,n/a,In EDMS,Isaiah,,2026-06-18,Val. Protocol,,"Bayer Philippines, Inc. – Pharma Division",CO,ADF & CML,2026-06-03,SBA,2026-06-03,,n/a,6/3/2026 8:06:35,6/18/2026 12:58:15,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-03 08:06:35"",""Date/time signed"":""2026-06-04 08:34:22"",""Duration pending/signing time"":""1 day 28 mins""},{""Name"":""Cara"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-04 08:34:22"",""Date/time signed"":""2026-06-05 13:11:53"",""Duration pending/signing time"":""1 day 4 hrs""},{""Name"":""Anne"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-05 13:11:53"",""Date/time signed"":""2026-06-09 13:08:11"",""Duration pending/signing time"":""3 days 23 hrs""},{""Name"":""Tin"",""Order"":4,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:08:11"",""Date/time signed"":""2026-06-09 13:08:31"",""Duration pending/signing time"":""0 mins""},{""Name"":""Nadia"",""Order"":5,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:08:31"",""Date/time signed"":""2026-06-09 13:08:47"",""Duration pending/signing time"":""0 mins""},{""Name"":""Othy"",""Order"":6,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:08:47"",""Date/time signed"":""2026-06-09 13:09:06"",""Duration pending/signing time"":""0 mins""},{""Name"":""Aiza"",""Order"":7,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:09:06"",""Date/time signed"":""2026-06-10 14:28:31"",""Duration pending/signing time"":""1 day 1 hr""},{""Name"":""Ron"",""Order"":8,""Status"":""Signed"",""Date/time forwarded"":""2026-06-10 14:28:31"",""Date/time signed"":""2026-06-15 10:21:33"",""Duration pending/signing time"":""4 days 19 hrs""},{""Name"":""Fong"",""Order"":9,""Status"":""Signed"",""Date/time forwarded"":""2026-06-15 10:21:33"",""Date/time signed"":""2026-06-18 12:57:33"",""Duration pending/signing time"":""3 days 2 hrs""},{""Name"":""Jon"",""Order"":10,""Status"":""Signed"",""Date/time forwarded"":""2026-06-18 12:57:33"",""Date/time signed"":""2026-06-18 12:57:43"",""Duration pending/signing time"":""0 mins""}]",15 days 4 hrs,2026-06-18 12:57:43
KIud,EV,Equipment Equivalency Assessment for FBD #1 and FBD #2,Non-process,IL-0181 & IL-0230,In EDMS,Riza,,,Report,,,DPM,RDM,2026-05-26,CML,2026-05-26,,n/a,6/3/2026 8:29:23,6/9/2026 14:19:43,Unknown user,"[{""Name"":""Ron"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-03 08:29:23"",""Date/time signed"":""2026-06-04 13:22:52"",""Duration pending/signing time"":""1 day 4 hrs""},{""Name"":""Fong"",""Order"":2,""Status"":""Active"",""Date/time forwarded"":""2026-06-04 13:22:52"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Jon"",""Order"":3,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
Mc6G,APR-2026-039,Isordil 5mg SL Tablet,APR,n/a,Returned to,Timi,,2026-06-04,,,Pfizer Inc.,,LAL,2026-06-03,CML,2026-06-03,2026-06-05,n/a,6/3/2026 13:21:06,6/5/2026 8:24:17,carlolidres@gmail.com,"[{""Name"":""Fong"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-03 13:21:06"",""Date/time signed"":""2026-06-05 07:57:02"",""Duration pending/signing time"":""1 day 18 hrs""}]",1 day 18 hrs,2026-06-05 7:57:02
l7d5,VMP-MM-00-000-046R-7,Trosyd 10mg/g 1% Cream (TROC),Process,n/a,In EDMS,Isaiah,,,Ver. Report,2026TROC-1,J&J International (Singapore) Pte. Ltd.,CO,ADF & CML,2026-04-20,,,,n/a,6/3/2026 14:44:39,6/3/2026 14:44:39,Unknown user,[],,
gcRT,VMP-MM-01-000-195R-8,Cetirizine HCl 10 mg Film-Coated Tablet (CTZA),Process,n/a,In EDMS,Isaiah,,2026-06-05,Ver. Report,2026CTZA-7,Interphil Laboratories Inc.,DPM,ADF,2026-06-05,CML,2026-06-05,2026-06-30,n/a,6/5/2026 7:22:28,6/10/2026 13:45:45,carlolidres@gmail.com,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-05 07:22:28"",""Date/time signed"":""2026-06-08 09:15:24"",""Duration pending/signing time"":""3 days 1 hr""},{""Name"":""Nadia"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-08 09:15:24"",""Date/time signed"":""2026-06-08 15:42:37"",""Duration pending/signing time"":""6 hrs 27 mins""},{""Name"":""Kitel"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-08 15:42:37"",""Date/time signed"":""2026-06-10 13:34:11"",""Duration pending/signing time"":""1 day 21 hrs""},{""Name"":""Ron"",""Order"":4,""Status"":""Active"",""Date/time forwarded"":""2026-06-10 13:34:11"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Fong"",""Order"":5,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Jon"",""Order"":6,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
940W,VMP-MM-00-000-076P-4.1,Elica Cream 1 mg/g (EAM),Process,n/a,In EDMS,Isaiah,,2026-06-09,,,,,ADF & CML,2026-06-04,SBA,2026-06-05,2026-06-08,For filing c/o Isaiah,6/5/2026 7:44:00,6/10/2026 7:30:53,carlolidres@gmail.com,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-05 07:44:00"",""Date/time signed"":""2026-06-05 08:26:24"",""Duration pending/signing time"":""42 mins""},{""Name"":""Anne"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-05 08:26:24"",""Date/time signed"":""2026-06-09 13:06:37"",""Duration pending/signing time"":""4 days 4 hrs""},{""Name"":""Nadia"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:06:37"",""Date/time signed"":""2026-06-09 13:06:53"",""Duration pending/signing time"":""0 mins""},{""Name"":""Othy"",""Order"":4,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:06:53"",""Date/time signed"":""2026-06-09 13:07:09"",""Duration pending/signing time"":""0 mins""},{""Name"":""Fong"",""Order"":5,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 13:07:09"",""Date/time signed"":""2026-06-09 14:09:10"",""Duration pending/signing time"":""1 hr 2 mins""},{""Name"":""Jon"",""Order"":6,""Status"":""Signed"",""Date/time forwarded"":""2026-06-09 14:09:10"",""Date/time signed"":""2026-06-09 14:09:32"",""Duration pending/signing time"":""0 mins""}]",4 days 6 hrs,2026-06-09 14:09:32
Vw9p,VMP-MM-03-000-023P-8,Cefuroxime Axetil 500mg Film-Coated Tablet (TGN),Process,n/a,Routing,Cara,,2026-06-08,Ver. Protocol,,Interphil Laboratories Inc.,Cepha,ADF & CML,2026-06-08,SBA,2026-06-08,2026-06-30,n/a,6/8/2026 7:28:19,6/8/2026 9:15:59,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-08 07:28:19"",""Date/time signed"":""2026-06-08 09:15:59"",""Duration pending/signing time"":""1 hr 48 mins""},{""Name"":""Cara"",""Order"":2,""Status"":""Active"",""Date/time forwarded"":""2026-06-08 09:15:59"",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Anne"",""Order"":3,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Tin"",""Order"":4,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Nadia"",""Order"":5,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Othy"",""Order"":6,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Kitel"",""Order"":7,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Ron"",""Order"":8,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Fong"",""Order"":9,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""},{""Name"":""Jon"",""Order"":10,""Status"":""Pending"",""Date/time forwarded"":"""",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
KKNA,ER-FA-04-019-002/26,RETENTION ROOM THERMAL MAPPING,Non-process,n/a,Completed,,,2026-06-08,Report,N/A,NA,QA,RDM,2026-06-08,CML,2026-06-08,2026-06-12,n/a,6/8/2026 8:01:14,6/15/2026 7:11:17,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-08 15:19:00"",""Date/time signed"":""2026-06-08 16:19:39"",""Duration pending/signing time"":""1 hr 1 min""},{""Name"":""Fong"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-08 16:19:39"",""Date/time signed"":""2026-06-15 07:11:16"",""Duration pending/signing time"":""6 days 14 hrs""}]",6 days 15 hrs,2026-06-15 7:11:16
Z5gT,ER-FA-04-019-003/26,STAB ROOM 30°C 75%RH THERMAL MAPPING,Non-process,N/A,Routing,Anne,,2026-06-08,Report,N/A,NA,QC Plant 1,RDM,2026-06-08,CML,2026-06-08,2026-06-12,n/a,6/8/2026 15:18:41,6/15/2026 7:20:00,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-08 15:20:00"",""Date/time signed"":""2026-06-08 16:20:30"",""Duration pending/signing time"":""1 hr 1 min""},{""Name"":""Fong"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-08 16:27:00"",""Date/time signed"":""2026-06-15 07:14:34"",""Duration pending/signing time"":""6 days 14 hrs""},{""Name"":""Anne"",""Order"":3,""Status"":""Active"",""Date/time forwarded"":""2026-06-15 07:17:00"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
VbH0,APR-2026-025,Rimactazid 450mg / 400mg FC Tablet (RTZ),APR,n/a,Returned to,Timi,,,APR,,Sandoz Philippines Corp.,,LAL,2026-06-10,CML,2026-06-10,,n/a,6/10/2026 7:18:56,6/10/2026 9:57:42,Unknown user,"[{""Name"":""Fong"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-10 07:18:56"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
tRMC,APR-2026-026,Rimactazid 300mg / 150mg SC Tablet (RMTZ),APR,n/a,Returned to,Timi,,,APR,,Sandoz Philippines Corp.,,LAL,2026-06-10,CML,2026-06-10,,n/a,6/10/2026 7:20:39,6/10/2026 9:59:05,Unknown user,"[{""Name"":""Fong"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-10 07:20:39"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
MVZ2,VMP-CM-01-000-043R-1,Equipment Train for Methycobal 500mcg Tablet (MCB),Non-process,n/a,Routing,Kitel,,,Report,,NA,DPM,LAL,2026-06-10,SBA,2026-06-10,,n/a,6/10/2026 7:27:50,6/15/2026 10:19:00,Unknown user,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-10 07:27:50"",""Date/time signed"":""2026-06-10 16:09:54"",""Duration pending/signing time"":""8 hrs 42 mins""},{""Name"":""Nadia"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-11 13:17:00"",""Date/time signed"":""2026-06-15 10:18:59"",""Duration pending/signing time"":""3 days 21 hrs""},{""Name"":""Kitel"",""Order"":3,""Status"":""Active"",""Date/time forwarded"":""2026-06-15 10:18:59"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
p24C,VMP-MM-15-000-001P,Continue Process Verification For Pfizer Products,Process,n/a,Sent,Client,,2026-06-16,,,Pfizer Inc.,DPM,CML,2026-06-10,SBA,2026-06-10,,"for client approval, sent to Abhilash c/o Carl 16June2026",6/10/2026 16:55:28,6/16/2026 15:28:37,carlolidres@gmail.com,"[{""Name"":""Steve"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-11 06:45:00"",""Date/time signed"":""2026-06-11 08:25:15"",""Duration pending/signing time"":""1 hr 40 mins""},{""Name"":""Othy"",""Order"":2,""Status"":""Signed"",""Date/time forwarded"":""2026-06-11 08:25:15"",""Date/time signed"":""2026-06-15 07:59:09"",""Duration pending/signing time"":""3 days 23 hrs""},{""Name"":""Fong"",""Order"":3,""Status"":""Signed"",""Date/time forwarded"":""2026-06-15 07:59:09"",""Date/time signed"":""2026-06-16 15:16:34"",""Duration pending/signing time"":""1 day 7 hrs""},{""Name"":""Jon"",""Order"":4,""Status"":""Signed"",""Date/time forwarded"":""2026-06-16 15:16:34"",""Date/time signed"":""2026-06-16 15:16:47"",""Duration pending/signing time"":""0 mins""}]",5 days 8 hrs,2026-06-16 15:16:47
3Ia7,APR-2026-050,TRES (RMZD450+ETHAN1000) Tablet,APR,NA,Routing,Fong,,2026-06-18,Others,,Sandoz Philippines Corp.,,FBP & LAL,2026-06-18,CML,2026-06-18,,n/a,6/10/2026 16:59:01,6/18/2026 13:23:44,Unknown user,"[{""Name"":""Fong"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-18 13:23:43"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
DjSG,APR-2025-105,ADVIL CHILDREN PAIN & FEVER RELIEF,APR,n/a,Sent,Timi,,2026-06-10,APR,,Haleon,,FBP & LAL,2026-06-10,CML,2026-06-10,,c/o Ma'am Timi,6/10/2026 17:00:52,6/11/2026 13:19:51,Unknown user,"[{""Name"":""Fong"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-11 07:30:18"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
